Title,Rate,Link,ID
Wicked,"8,1",https://www.imdb.com/title/tt1262426/?ref_=chtmvm_t_1,tt1262426
Gladiator II,"6,9",https://www.imdb.com/title/tt9218128/?ref_=chtmvm_t_2,tt9218128
Vaiana 2,"7,1",https://www.imdb.com/title/tt13622970/?ref_=chtmvm_t_3,tt13622970
Gladiator,"8,5",https://www.imdb.com/title/tt0172495/?ref_=chtmvm_t_4,tt0172495
The Substance,"7,4",https://www.imdb.com/title/tt17526714/?ref_=chtmvm_t_5,tt17526714
Dear Santa,"5,3",https://www.imdb.com/title/tt2396431/?ref_=chtmvm_t_6,tt2396431
Nom de code : Rouge,"6,8",https://www.imdb.com/title/tt14948432/?ref_=chtmvm_t_7,tt14948432
Deadpool & Wolverine,"7,7",https://www.imdb.com/title/tt6263850/?ref_=chtmvm_t_8,tt6263850
Dragons,Rate not found,https://www.imdb.com/title/tt26743210/?ref_=chtmvm_t_9,tt26743210
Conclave,"7,4",https://www.imdb.com/title/tt20215234/?ref_=chtmvm_t_10,tt20215234
The Merry Gentlemen,"4,9",https://www.imdb.com/title/tt32368345/?ref_=chtmvm_t_11,tt32368345
Alien: Romulus,"7,2",https://www.imdb.com/title/tt18412256/?ref_=chtmvm_t_12,tt18412256
"Sonic 3, le film",Rate not found,https://www.imdb.com/title/tt18259086/?ref_=chtmvm_t_13,tt18259086
Eden,"6,1",https://www.imdb.com/title/tt23149780/?ref_=chtmvm_t_14,tt23149780
Our Little Secret,"5,8",https://www.imdb.com/title/tt31022050/?ref_=chtmvm_t_15,tt31022050
Mon bel homme de neige,"5,4",https://www.imdb.com/title/tt32359447/?ref_=chtmvm_t_16,tt32359447
Twisters,"6,5",https://www.imdb.com/title/tt12584954/?ref_=chtmvm_t_17,tt12584954
Heretic,"7,2",https://www.imdb.com/title/tt28015403/?ref_=chtmvm_t_18,tt28015403
Smile 2,"6,9",https://www.imdb.com/title/tt29268110/?ref_=chtmvm_t_19,tt29268110
Lilo et Stitch,Rate not found,https://www.imdb.com/title/tt11655566/?ref_=chtmvm_t_20,tt11655566
Blitz,"6,3",https://www.imdb.com/title/tt15939198/?ref_=chtmvm_t_21,tt15939198
Ellian et le sortilège,"5,7",https://www.imdb.com/title/tt7215232/?ref_=chtmvm_t_22,tt7215232
Le Magicien d'Oz,"8,1",https://www.imdb.com/title/tt0032138/?ref_=chtmvm_t_23,tt0032138
Nosferatu,Rate not found,https://www.imdb.com/title/tt5040012/?ref_=chtmvm_t_24,tt5040012
L'Amour au présent,"7,1",https://www.imdb.com/title/tt27131358/?ref_=chtmvm_t_25,tt27131358
Anora,"8,2",https://www.imdb.com/title/tt28607951/?ref_=chtmvm_t_26,tt28607951
Le sapin a les boules,"7,5",https://www.imdb.com/title/tt0097958/?ref_=chtmvm_t_27,tt0097958
Elevation,"5,6",https://www.imdb.com/title/tt23558280/?ref_=chtmvm_t_28,tt23558280
Le Robot sauvage,"8,3",https://www.imdb.com/title/tt29623480/?ref_=chtmvm_t_29,tt29623480
Un ticket pour deux,"7,6",https://www.imdb.com/title/tt0093748/?ref_=chtmvm_t_30,tt0093748
Joy,"7,1",https://www.imdb.com/title/tt10243672/?ref_=chtmvm_t_31,tt10243672
Mon futur moi,"7,0",https://www.imdb.com/title/tt18559464/?ref_=chtmvm_t_32,tt18559464
Vaiana : La Légende du bout du monde,"7,6",https://www.imdb.com/title/tt3521164/?ref_=chtmvm_t_33,tt3521164
Here - Les plus belles années de notre vie,"6,2",https://www.imdb.com/title/tt18272208/?ref_=chtmvm_t_34,tt18272208
La Leçon de piano,"6,2",https://www.imdb.com/title/tt15507512/?ref_=chtmvm_t_35,tt15507512
Venom: The Last Dance,"6,2",https://www.imdb.com/title/tt16366836/?ref_=chtmvm_t_36,tt16366836
